Sub Cluster;Product Type;Month;Demand;BeginningStock;IncomingStock;EndingStock;Backorders
APAC Distributor;Ancillaries;Jul 18;34605;161645;;127040;0
APAC Distributor;Ancillaries;Aug 18;42043;127040;250000;334997;0
APAC Distributor;Ancillaries;Sep 18;35021;334997;100000;399976;0
APAC Distributor;Ancillaries;Oct 18;33297;399976;100000;466679;0
APAC Distributor;Ancillaries;Nov 18;39241;466679;100000;527438;0
APAC Distributor;Ancillaries;Dec 18;50713;527438;;476725;0
APAC Distributor;Ancillaries;Jan 19;24882;476725;100000;551843;0
APAC Distributor;Ancillaries;Feb 19;34910;551843;;516933;0
APAC Distributor;Ancillaries;Mar 19;42171;516933;100000;574762;0
APAC Distributor;Ancillaries;Apr 19;30654;574762;100000;644108;0
APAC Distributor;Ancillaries;May 19;24254;644108;;619854;0
APAC Distributor;Ancillaries;Jun 19;48926;619854;;570928;0
APAC Distributor;Ancillaries;Jul 19;44345;570928;100000;626583;0
APAC Distributor;Ancillaries;Aug 19;52192;626583;100000;674391;0
APAC Distributor;Ancillaries;Sep 19;41650;674391;;632741;0
APAC Distributor;Ancillaries;Oct 19;34972;632741;;597769;0
APAC Distributor;Ancillaries;Nov 19;97117;597769;100000;600652;0
APAC Distributor;Ancillaries;Dec 19;24417;600652;100000;676235;0
APAC Distributor;Ancillaries;Jan 20;11636;676235;;664599;0
APAC Distributor;Ancillaries;Feb 20;2048;664599;;662551;0
APAC Distributor;Ancillaries;Mar 20;10188;662551;;652363;0
APAC Distributor;Ancillaries;Apr 20;11696;652363;;640667;0
APAC Distributor;Ancillaries;May 20;16740;640667;;623927;0
APAC Distributor;Ancillaries;Jun 20;19812;623927;;604115;0
APAC Distributor;Ancillaries;Jul 20;122501;604115;100000;581614;0
APAC Distributor;Ancillaries;Aug 20;9838;581614;;571776;0
APAC Distributor;Ancillaries;Sep 20;41951;571776;100000;629825;0
APAC Distributor;Ancillaries;Oct 20;56687;629825;;573138;0
APAC Distributor;Ancillaries;Nov 20;62980;573138;;510158;0
APAC Distributor;Ancillaries;Dec 20;103982;510158;100000;506176;0
APAC Distributor;Meters;Jul 18;17125;30947;22000;35822;0
APAC Distributor;Meters;Aug 18;21223;35822;22000;36599;0
APAC Distributor;Meters;Sep 18;19681;36599;22000;38918;0
APAC Distributor;Meters;Oct 18;17575;38918;22000;43343;0
APAC Distributor;Meters;Nov 18;29903;43343;22000;35440;0
APAC Distributor;Meters;Dec 18;29048;35440;22000;28392;0
APAC Distributor;Meters;Jan 19;10004;28392;;18388;0
APAC Distributor;Meters;Feb 19;20766;18388;22000;19622;0
APAC Distributor;Meters;Mar 19;27664;19622;22000;13958;0
APAC Distributor;Meters;Apr 19;22632;13958;22000;13326;0
APAC Distributor;Meters;May 19;20000;13326;22000;15326;0
APAC Distributor;Meters;Jun 19;30275;15326;22000;7051;0
APAC Distributor;Meters;Jul 19;22807;7051;22000;6244;0
APAC Distributor;Meters;Aug 19;29274;6244;27500;4470;0
APAC Distributor;Meters;Sep 19;37647;4470;27500;0;-5677
APAC Distributor;Meters;Oct 19;23547;0;22000;0;-7224
APAC Distributor;Meters;Nov 19;28996;0;27500;0;-8720
APAC Distributor;Meters;Dec 19;23876;0;27500;0;-5096
APAC Distributor;Meters;Jan 20;17826;0;22000;0;-922
APAC Distributor;Meters;Feb 20;16603;0;22000;5397;0
APAC Distributor;Meters;Mar 20;21299;5397;22000;6098;0
APAC Distributor;Meters;Apr 20;548;6098;22000;27550;0
APAC Distributor;Meters;May 20;3640;27550;22000;45910;0
APAC Distributor;Meters;Jun 20;56777;45910;22000;11133;0
APAC Distributor;Meters;Jul 20;20538;11133;22000;12595;0
APAC Distributor;Meters;Aug 20;8190;12595;22000;26405;0
APAC Distributor;Meters;Sep 20;34181;26405;22000;14224;0
APAC Distributor;Meters;Oct 20;4006;14224;22000;32218;0
APAC Distributor;Meters;Nov 20;39967;32218;22000;14251;0
APAC Distributor;Meters;Dec 20;9063;14251;22000;27188;0
APAC Distributor;Strips;Jul 18;142970;504370;;361400;0
APAC Distributor;Strips;Aug 18;195008;361400;500000;666392;0
APAC Distributor;Strips;Sep 18;254386;666392;;10710;0
APAC Distributor;Strips;Oct 18;232419;10710;500000;447844;0
APAC Distributor;Strips;Nov 18;334656;447844;500000;429505;0
APAC Distributor;Strips;Dec 18;242971;429505;;925524;0
APAC Distributor;Strips;Jan 19;87266;925524;;604883;0
APAC Distributor;Strips;Feb 19;155720;604883;;317942;0
APAC Distributor;Strips;Mar 19;239618;317942;500000;418159;0
APAC Distributor;Strips;Apr 19;225424;418159;500000;489031;0
APAC Distributor;Strips;May 19;204504;489031;500000;453864;0
APAC Distributor;Strips;Jun 19;333387;453864;500000;510548;0
APAC Distributor;Strips;Jul 19;190264;510548;;171136;0
APAC Distributor;Strips;Aug 19;233667;171136;500000;917298;0
APAC Distributor;Strips;Sep 19;394213;917298;500000;116497;0
APAC Distributor;Strips;Oct 19;232799;116497;;215045;0
APAC Distributor;Strips;Nov 19;385542;215045;;43963;0
APAC Distributor;Strips;Dec 19;146351;43963;;779173;0
APAC Distributor;Strips;Jan 20;100513;779173;;504370;0
APAC Distributor;Strips;Feb 20;125793;504370;500000;692149;0
APAC Distributor;Strips;Mar 20;259791;692149;;158368;0
APAC Distributor;Strips;Apr 20;143058;158368;;345973;0
APAC Distributor;Strips;May 20;189703;345973;;264161;0
APAC Distributor;Strips;Jun 20;352771;264161;;157777;0
APAC Distributor;Strips;Jul 20;327201;157777;500000;343935;0
APAC Distributor;Strips;Aug 20;248803;343935;500000;1168495;0
APAC Distributor;Strips;Sep 20;412630;1168495;500000;203867;0
APAC Distributor;Strips;Oct 20;449949;203867;500000;265096;0
APAC Distributor;Strips;Nov 20;363700;265096;500000;180263;0
APAC Distributor;Strips;Dec 20;305511;180263;;473662;0
China;Ancillaries;Jul 18;140;623536;200000;823396;0
China;Ancillaries;Aug 18;7529;823396;;815867;0
China;Ancillaries;Sep 18;4430;815867;;811437;0
China;Ancillaries;Oct 18;1291;811437;;810146;0
China;Ancillaries;Nov 18;200;810146;;809946;0
China;Ancillaries;Dec 18;177;809946;;809769;0
China;Ancillaries;Jan 19;7936;809769;;801833;0
China;Ancillaries;Feb 19;10;801833;;801823;0
China;Ancillaries;Mar 19;8162;801823;;793661;0
China;Ancillaries;Apr 19;64;793661;;793597;0
China;Ancillaries;May 19;1700;793597;;791897;0
China;Ancillaries;Jun 19;5622;791897;;786275;0
China;Ancillaries;Jul 19;862;786275;;785413;0
China;Ancillaries;Aug 19;57;785413;;785356;0
China;Ancillaries;Sep 19;5777;785356;;779579;0
China;Ancillaries;Oct 19;930;779579;200000;978649;0
China;Ancillaries;Nov 19;2328;978649;200000;1176321;0
China;Ancillaries;Dec 19;9654;1176321;500000;1666667;0
China;Ancillaries;Jan 20;440278;1666667;200000;1426389;0
China;Ancillaries;Feb 20;210216;1426389;200000;1416173;0
China;Ancillaries;Mar 20;319968;1416173;200000;1296205;0
China;Ancillaries;Apr 20;416573;1296205;200000;1079632;0
China;Ancillaries;May 20;502115;1079632;250000;827517;0
China;Ancillaries;Jun 20;590421;827517;250000;487096;0
China;Ancillaries;Jul 20;423560;487096;450000;513536;0
China;Ancillaries;Aug 20;444953;513536;450000;518583;0
China;Ancillaries;Sep 20;666760;518583;450000;301823;0
China;Ancillaries;Oct 20;349646;301823;450000;402177;0
China;Ancillaries;Nov 20;654505;402177;450000;197672;0
China;Ancillaries;Dec 20;559017;197672;450000;88655;0
China;Meters;Jul 18;13418;40241;27500;54323;0
China;Meters;Aug 18;17078;54323;22000;59245;0
China;Meters;Sep 18;41123;59245;22000;40122;0
China;Meters;Oct 18;34210;40122;22000;27912;0
China;Meters;Nov 18;59642;27912;22000;0;-9730
China;Meters;Dec 18;18647;0;22000;0;-6377
China;Meters;Jan 19;51929;0;55000;0;-3306
China;Meters;Feb 19;3259;0;22000;15435;0
China;Meters;Mar 19;38915;15435;27500;4020;0
China;Meters;Apr 19;29872;4020;27500;1648;0
China;Meters;May 19;40785;1648;27500;0;-11637
China;Meters;Jun 19;29561;0;22000;0;-19198
China;Meters;Jul 19;12734;0;27500;0;-4432
China;Meters;Aug 19;26119;0;33000;2449;0
China;Meters;Sep 19;40109;2449;33000;0;-4660
China;Meters;Oct 19;17340;0;22000;0;0
China;Meters;Nov 19;16331;0;22000;5669;0
China;Meters;Dec 19;8461;5669;11000;8208;0
China;Meters;Jan 20;10300;8208;11000;8908;0
China;Meters;Feb 20;8930;8908;11000;10978;0
China;Meters;Mar 20;19610;10978;33000;24368;0
China;Meters;Apr 20;29890;24368;11000;5478;0
China;Meters;May 20;39740;5478;33000;0;-1262
China;Meters;Jun 20;36493;0;38500;745;0
China;Meters;Jul 20;13189;745;27500;15056;0
China;Meters;Aug 20;16824;15056;11000;9232;0
China;Meters;Sep 20;32146;9232;27000;4086;0
China;Meters;Oct 20;10274;4086;22000;15812;0
China;Meters;Nov 20;8432;15812;25000;32380;0
China;Meters;Dec 20;6880;32380;10000;35500;0
China;Strips;Jul 18;223702;0;500000;276298;0
China;Strips;Aug 18;317496;276298;300000;258802;0
China;Strips;Sep 18;387691;258802;500000;371111;0
China;Strips;Oct 18;534272;371111;300000;136839;0
China;Strips;Nov 18;731908;136839;300000;0;-295069
China;Strips;Dec 18;272631;0;300000;0;-267700
China;Strips;Jan 19;467447;0;800000;332553;0
China;Strips;Feb 19;157788;332553;500000;674765;0
China;Strips;Mar 19;469631;674765;300000;505134;0
